county,state,cases,population,num_physicians,phys_per_cap
Gladwin,Michigan,2,25449,4,1.5717709929663248e-4
Gogebic,Michigan,2,13975,14,0.001001788908765653
Grand Traverse,Michigan,7,93088,121,0.0012998453076658646
Gratiot,Michigan,3,40711,20,4.912677163420206e-4
Hillsdale,Michigan,14,45605,12,2.6312904286810655e-4
Houghton,Michigan,1,35684,23,6.445465754960206e-4
Huron,Michigan,3,30981,17,5.487234111229463e-4
Ingham,Michigan,91,292406,308,0.0010533299590295684
Ionia,Michigan,4,64697,19,2.936766774348115e-4
Iosco,Michigan,1,25127,13,5.17371751502368e-4
Iron,Michigan,0,11066,8,7.229351165732876e-4
Isabella,Michigan,6,69872,33,4.7229219143576825e-4
Jackson,Michigan,47,158510,72,4.542300170336256e-4
Kalamazoo,Michigan,24,265066,251,9.469339711618993e-4
Kalkaska,Michigan,7,18038,5,2.77192593413904e-4
Kent,Michigan,108,656955,585,8.904719501335708e-4
Keweenaw,Michigan,0,2116,1,4.725897920604915e-4
Lake,Michigan,0,11853,1,8.436682696363789e-5
Lapeer,Michigan,8,87607,28,3.196091636513064e-4
Leelanau,Michigan,1,21761,8,3.676301640549607e-4
Lenawee,Michigan,18,98451,27,2.742481031172868e-4
Livingston,Michigan,80,191995,94,4.895960832313342e-4
Luce,Michigan,0,6229,8,0.0012843152994060042
Mackinac,Michigan,0,10799,8,7.408093341976109e-4
Macomb,Michigan,853,873972,470,5.377746655499261e-4
Manistee,Michigan,1,24558,13,5.293590683280397e-4
Marquette,Michigan,4,66699,71,0.0010644837253931843
Mason,Michigan,0,29144,22,7.548723579467472e-4
Mecosta,Michigan,3,43453,22,5.06294156905162e-4
Menominee,Michigan,0,22780,8,3.511852502194908e-4
Midland,Michigan,10,83156,77,9.259704651498388e-4
Missaukee,Michigan,1,15118,2,1.3229263130043657e-4
Monroe,Michigan,49,150500,44,2.9235880398671097e-4
Montcalm,Michigan,5,63888,26,4.0696218382168793e-4
Montmorency,Michigan,0,9328,8,8.576329331046312e-4
Muskegon,Michigan,18,173566,106,6.107186891441872e-4
