county,state,cases,population,num_physicians,yhat
Twin Falls,Idaho,17,86878,59,69.33096786578902
Valley,Idaho,2,11392,9,9.091120720171604
Washington,Idaho,0,10194,5,8.135084675336142
Adams,Illinois,2,65435,59,52.21888029533259
Alexander,Illinois,0,5761,5,4.597432098745489
Bond,Illinois,2,16426,12,13.108387372677209
Boone,Illinois,0,53544,30,42.729544227604315
Brown,Illinois,0,6578,5,5.2494199523603235
Bureau,Illinois,2,32628,16,26.038016753665648
Calhoun,Illinois,0,4739,2,3.7818487616654872
Carroll,Illinois,3,14305,5,11.415772638874191
Cass,Illinois,0,12147,10,9.693630915372584
Champaign,Illinois,33,209689,199,167.33743088940162
Christian,Illinois,14,32304,13,25.779456087115825
Clark,Illinois,1,15441,7,12.322331025295798
Clay,Illinois,0,13184,2,10.521184653681743
Clinton,Illinois,8,37562,13,29.975480731310196
Coles,Illinois,0,50621,39,40.39691204141562
Cook,Illinois,5152,5150233,4110,4110.023695576857
Crawford,Illinois,1,18667,11,14.896765316313493
Cumberland,Illinois,1,10766,9,8.591555975541388
DeKalb,Illinois,14,104897,32,83.71061184900287
De Witt,Illinois,0,15638,6,12.479542294772079
Douglas,Illinois,8,19465,6,15.533590661704729
DuPage,Illinois,392,922921,737,736.5156448544151
Edgar,Illinois,0,17161,6,13.694937032905976
Edwards,Illinois,0,6395,5,5.103381057364589
Effingham,Illinois,0,34008,28,27.139293666748234
Fayette,Illinois,2,21336,3,17.026698708355102
Ford,Illinois,1,12961,10,10.343224688741586
Franklin,Illinois,1,38469,13,30.699290992299982
Fulton,Illinois,0,34340,11,27.404238547286944
Gallatin,Illinois,0,4828,4,3.852873142291828
Greene,Illinois,0,12969,3,10.349608902730472
Grundy,Illinois,4,51054,16,40.74245762356399
Hamilton,Illinois,0,8116,4,6.476785091723379
Hancock,Illinois,0,17708,4,14.131457664395958
Hardin,Illinois,0,3821,4,3.0492602064409846
Henderson,Illinois,0,6646,5,5.303685771265842
Henry,Illinois,3,48913,11,39.033882354788766
Iroquois,Illinois,2,27114,10,21.637697261826972
Jackson,Illinois,4,56750,76,45.288017983649794
Jasper,Illinois,0,9610,8,7.669037054147569
Jefferson,Illinois,0,37684,24,30.072839994640688
Jersey,Illinois,0,21773,9,17.37543639749792
Jo Daviess,Illinois,3,21235,10,16.946098006745434
Johnson,Illinois,0,12417,10,9.909098137497436
Kane,Illinois,142,532403,218,424.87183504051285
Kankakee,Illinois,57,109862,44,87.67281465585434
Kendall,Illinois,27,128990,47,102.93747030327731
Knox,Illinois,1,49699,29,39.661131379196675
Lake,Illinois,477,696535,783,555.8535613434627
LaSalle,Illinois,6,108669,40,86.72076874476194
Lawrence,Illinois,0,15678,4,12.511463364716503
Lee,Illinois,0,34096,24,27.209520020625966
Livingston,Illinois,5,35648,17,28.44805753446957
Logan,Illinois,0,28618,8,22.837929491737267
McDonough,Illinois,0,29682,15,23.687029952258914
McHenry,Illinois,69,307774,158,245.6118845268693
McLean,Illinois,19,171517,98,136.875153841439
Macon,Illinois,2,104009,88,83.00196409623668
Macoupin,Illinois,0,44926,11,35.85214970807843
Madison,Illinois,25,262966,121,209.85390197512692
Marion,Illinois,2,37205,14,29.690585182056225
Marshall,Illinois,1,11438,9,9.127829950607689
Mason,Illinois,2,13359,3,10.660839334688593
Massac,Illinois,1,13772,3,10.990424381864758
Menard,Illinois,1,12196,5,9.7327342260545
Mercer,Illinois,0,15437,3,12.319138918301356
Monroe,Illinois,3,34637,12,27.641252491624282
Montgomery,Illinois,2,28414,18,22.67513203502071
Morgan,Illinois,5,33658,14,26.859984304734535
Moultrie,Illinois,0,14501,4,11.572185881601863
Ogle,Illinois,1,50643,33,40.41446862988505
Peoria,Illinois,10,179179,224,142.98963478929318
Perry,Illinois,0,20916,11,16.691527473938663
Piatt,Illinois,0,16344,8,13.042949179291142
Pike,Illinois,0,15561,8,12.418094235129066
Pope,Illinois,0,4177,3,3.333357728946347
Pulaski,Illinois,0,5335,4,4.2574727038373865
Putnam,Illinois,0,5739,5,4.579875510276056
Randolph,Illinois,7,31782,14,25.362886124341106
Richland,Illinois,0,15513,8,12.379788951195758
Rock Island,Illinois,17,141879,75,113.22323706611894
St. Clair,Illinois,53,259686,156,207.23637423968424
Saline,Illinois,1,23491,15,18.746446351610878
Sangamon,Illinois,17,194672,236,155.3534632055167
Schuyler,Illinois,0,6768,2,5.401045034596332
Scott,Illinois,0,4951,4,3.9510304323709278
Shelby,Illinois,0,21634,6,17.264510679441052
Stark,Illinois,0,5342,4,4.263058891077661
Stephenson,Illinois,3,44498,19,35.510594259673105
Tazewell,Illinois,4,131803,62,105.18231954711884
Union,Illinois,0,16653,12,13.289539444611808
Vermilion,Illinois,1,75758,34,60.45691042123949
Wabash,Illinois,0,11520,5,9.193268143993755
Warren,Illinois,0,16844,7,13.441962553596426
Washington,Illinois,1,13887,3,11.082197457954972
Wayne,Illinois,0,16215,7,12.940003728720379
White,Illinois,0,13537,4,10.802888095941274
Whiteside,Illinois,5,55175,33,44.031125854588154
Will,Illinois,322,690743,379,551.2313904155103
Williamson,Illinois,1,66597,57,53.14618737721807
Winnebago,Illinois,18,282572,202,225.50001440838574
Woodford,Illinois,3,38459,20,30.691310724813878
Adams,Indiana,1,35777,13,28.55100298504033
Allen,Indiana,39,379299,251,302.69074772124026
Bartholomew,Indiana,13,83779,58,66.85788297184487
Benton,Indiana,1,8748,7,6.981137996845258
Blackford,Indiana,0,11758,7,9.383198510163071
Boone,Indiana,29,67843,136,54.14052870598684
Brown,Indiana,3,15092,5,12.043819690030709
Carroll,Indiana,2,20257,3,16.1656278466043
Cass,Indiana,1,37689,16,30.07683012838374
Clark,Indiana,38,118302,50,94.40816041412755
Clay,Indiana,1,26225,11,20.928251482312174
Clinton,Indiana,1,32399,6,25.85526862823383
Crawford,Indiana,1,10577,8,8.44072892005399
Daviess,Indiana,0,33351,16,26.61499009291109
Dearborn,Indiana,17,49458,22,39.468806932781526
Decatur,Indiana,48,26559,15,21.194792416348104
DeKalb,Indiana,2,43475,21,34.694212895844494
Delaware,Indiana,22,114135,115,91.0827829526673
Dubois,Indiana,3,42736,36,34.104471128621284
Elkhart,Indiana,23,206341,107,164.66563733505345
Fayette,Indiana,10,23102,13,18.436013946401367
Floyd,Indiana,21,78522,53,62.66265635439911
Fountain,Indiana,1,16346,3,13.044545232788362
Franklin,Indiana,39,22758,19,18.161492744879332
Fulton,Indiana,1,19974,10,15.939786276747508
Gibson,Indiana,4,33659,11,26.860782331483147
Grant,Indiana,9,65769,30,52.48542122936852
Greene,Indiana,3,31922,8,25.474609869146587
Hamilton,Indiana,179,338011,462,269.7418193246071
Hancock,Indiana,33,78168,63,62.380154885390965
Harrison,Indiana,15,40515,18,32.33205371995721
Hendricks,Indiana,91,170311,82,135.91273358261463
Henry,Indiana,4,47972,19,38.28293918434622
Howard,Indiana,20,82544,52,65.87231993731082
Huntington,Indiana,2,36520,21,29.143936859257984
Jackson,Indiana,10,44231,25,35.29752111779408
Jasper,Indiana,9,33562,8,26.783373736867922
Jay,Indiana,1,20436,9,16.30847463460559
Jefferson,Indiana,1,32308,18,25.782648194110266
Jennings,Indiana,17,27735,11,22.133271872714136
Johnson,Indiana,118,158167,121,126.22149674748789
Knox,Indiana,3,36594,31,29.202990838655165
Kosciusko,Indiana,5,79456,29,63.40801333760138
LaGrange,Indiana,2,39614,10,31.613031619459086
Lake,Indiana,180,485493,261,387.43640026319105
LaPorte,Indiana,11,109888,39,87.69356335131822
Lawrence,Indiana,11,45370,18,36.20647358446152
Madison,Indiana,46,129569,64,103.39952779072283
Marion,Indiana,1117,964582,758,769.76223722828
Marshall,Indiana,3,46258,20,36.9151213372277
Martin,Indiana,0,10255,2,8.183764307001386
Miami,Indiana,3,35516,7,28.342718003652973
Monroe,Indiana,33,148431,86,118.45190832301539
Montgomery,Indiana,6,38338,15,30.594749488231997
Morgan,Indiana,41,70489,32,56.25210748281041
Newton,Indiana,1,13984,11,11.159606052570199
Noble,Indiana,3,47744,13,38.10098908566301
Ohio,Indiana,1,5875,5,4.6884071480870935
Orange,Indiana,3,19646,11,15.67803350320324
Owen,Indiana,12,20799,2,16.598158344351226
Parke,Indiana,0,16937,4,13.516179041217208
Perry,Indiana,0,19169,10,15.297374744115999
Pike,Indiana,0,12389,10,9.886753388536341
Porter,Indiana,27,170389,105,135.97497966900627
Posey,Indiana,4,25427,9,20.29142613692094
Pulaski,Indiana,0,12353,5,9.858024425586361
Putnam,Indiana,11,37576,13,29.986653105790744
Randolph,Indiana,3,24665,5,19.683329754479686
Ripley,Indiana,33,28324,23,22.60330962764576
Rush,Indiana,5,16581,6,13.232081518711846
St. Joseph,Indiana,57,271826,246,216.92441896781656
Scott,Indiana,1,23873,10,19.051292569580117
Shelby,Indiana,19,44729,14,35.694938438602144
Spencer,Indiana,0,20277,8,16.18158838157651
Starke,Indiana,1,22995,5,18.350625084300038
Steuben,Indiana,2,34594,11,27.60693734143403
Sullivan,Indiana,3,20669,10,16.494414867031853
Switzerland,Indiana,3,10751,9,8.579585574312228
Tippecanoe,Indiana,18,195732,133,156.19937155904393
Tipton,Indiana,5,15148,5,12.088509187952901
Union,Indiana,0,7054,6,5.629280684698955
Vanderburgh,Indiana,18,181451,154,144.80275156213636
Vermillion,Indiana,1,15498,6,12.3678185499666
Vigo,Indiana,9,107038,98,85.4191871177781
Wabash,Indiana,1,30996,14,24.7356370999332
Warren,Indiana,2,8265,7,6.595691077266354
Warrick,Indiana,8,62998,100,50.27408910896863
Washington,Indiana,9,28036,7,22.373477924045915
Wayne,Indiana,3,65884,43,52.57719430545873
Wells,Indiana,2,28296,18,22.580964878684664
White,Indiana,2,24102,8,19.234040695011938
Whitley,Indiana,3,33964,19,27.10418048980937
Adair,Iowa,1,7152,3,5.707487306062791
Adams,Iowa,0,3602,3,2.87449234849527
Allamakee,Iowa,7,13687,8,10.922592108232859
Appanoose,Iowa,1,12426,11,9.916280378234932
Audubon,Iowa,1,5496,4,4.385955010363688
Benton,Iowa,7,25645,4,20.465395968118045
Black Hawk,Iowa,7,131228,126,104.72345416666776
Boone,Iowa,1,26234,13,20.93543372304967
Bremer,Iowa,0,25062,13,20.000146373678085
Buchanan,Iowa,2,21175,6,16.8982164018288
Buena Vista,Iowa,0,19620,9,15.657284807739366
Butler,Iowa,1,14439,2,11.522708223188008
Calhoun,Iowa,0,9668,7,7.715322605566982
Carroll,Iowa,1,20165,19,16.092209385732126
Cass,Iowa,0,12836,7,10.243471345165265
Cedar,Iowa,9,18627,5,14.86484424636907
Cerro Gordo,Iowa,8,42450,66,33.87623547851866
Cherokee,Iowa,0,11235,7,8.965830520639743
Chickasaw,Iowa,0,11933,7,9.522853191169922
Clarke,Iowa,0,9395,3,7.497461303196297
Clay,Iowa,1,16016,13,12.781196405746876
Clayton,Iowa,2,17549,6,14.004571411366877
Clinton,Iowa,6,46429,24,37.051583911240115
Crawford,Iowa,1,16820,4,13.422809911629772
Dallas,Iowa,27,93453,40,74.57799373790351
Davis,Iowa,0,9000,4,7.182240737495122
Decatur,Iowa,0,7870,2,6.280470511565179
Delaware,Iowa,0,17011,10,13.575233020614391
Des Moines,Iowa,2,38967,27,31.096708313108046
Dickinson,Iowa,1,17258,13,13.772345627521203
Dubuque,Iowa,22,97311,77,77.6567809340431
Emmet,Iowa,0,9208,6,7.3482303012061205
Fayette,Iowa,2,19650,7,15.681225610197684
Floyd,Iowa,0,15642,6,12.482734401766523
Franklin,Iowa,0,10070,3,8.03612935850843
Fremont,Iowa,0,6960,6,5.554266170329561
Greene,Iowa,0,8888,4,7.092861741650738
Grundy,Iowa,0,12232,3,9.761463189004482
Guthrie,Iowa,1,10689,4,8.530107915898373
Hamilton,Iowa,0,14773,5,11.789249157223937
Hancock,Iowa,3,10630,3,8.483024337730349
Hardin,Iowa,1,16846,8,13.443558607093648
Harrison,Iowa,10,14049,5,11.211477791229886
Henry,Iowa,5,19954,15,15.923825741775296
Howard,Iowa,0,9158,5,7.308328963775592
Humboldt,Iowa,0,9558,2,7.62753966321982
Ida,Iowa,0,6860,2,5.4744634954685045
Iowa,Iowa,5,16184,11,12.915264899513451
Jackson,Iowa,1,19439,7,15.512841966240853
Jasper,Iowa,7,37185,15,29.674624647084013
Jefferson,Iowa,0,18295,14,14.599899365830362
Johnson,Iowa,76,151140,271,120.61376278500141
Jones,Iowa,4,20681,9,16.50399118801518
Keokuk,Iowa,2,10246,8,8.176582066263892
Kossuth,Iowa,1,14813,8,11.821170227168361
Lee,Iowa,0,33657,20,26.859186277985923
Linn,Iowa,94,226706,135,180.9174520705077
Louisa,Iowa,0,11035,9,8.80622517091763
Lucas,Iowa,0,8600,6,6.863030038050894
Lyon,Iowa,0,11755,4,9.38080442991724
Madison,Iowa,1,16338,9,13.038161018799478
Mahaska,Iowa,2,22095,13,17.632401010550524
Marion,Iowa,0,33253,32,26.536783471547256
Marshall,Iowa,8,39369,21,31.417515066049496
Mills,Iowa,0,15109,9,12.05738614475709
Mitchell,Iowa,2,10586,3,8.447911160791485
Monona,Iowa,5,8615,7,6.875000439280053
Monroe,Iowa,0,7707,4,6.150392151541656
Montgomery,Iowa,1,9917,6,7.914031265971014
Muscatine,Iowa,18,42664,20,34.047013202721324
O'Brien,Iowa,0,13753,9,10.975261873641157
Osceola,Iowa,0,5958,2,4.754643368221771
Page,Iowa,2,15107,9,12.055790091259867
Palo Alto,Iowa,0,8886,3,7.091265688153517
Plymouth,Iowa,0,25177,11,20.091919449768298
Pocahontas,Iowa,0,6619,2,5.282139049053357
Polk,Iowa,81,490161,477,391.1615891257052
Pottawattamie,Iowa,5,93206,43,74.3808811309967
Poweshiek,Iowa,6,18504,17,14.766686956289972
Ringgold,Iowa,0,4894,6,3.9055429077001254
Sac,Iowa,0,9721,6,7.757618023243342
Scott,Iowa,21,172943,151,138.01313998495766
Shelby,Iowa,3,11454,6,9.140598378585459
Sioux,Iowa,4,34855,28,27.815222322821388
Story,Iowa,4,97117,66,77.50196374481264
Tama,Iowa,14,16854,4,13.449942821082532
Taylor,Iowa,1,6121,5,4.884721728245293
Union,Iowa,0,12241,10,9.768645429741976
Van Buren,Iowa,2,7044,7,5.621300417212849
Wapello,Iowa,1,34969,20,27.906197372162993
Warren,Iowa,4,51466,29,41.07124464399155
Washington,Iowa,34,21965,15,17.52865753323115
Wayne,Iowa,0,6441,4,5.140090287800676
Webster,Iowa,1,35904,19,28.652352382113875
Winnebago,Iowa,0,10354,5,8.262768955113833
Winneshiek,Iowa,3,19991,22,15.953352731473887
Woodbury,Iowa,4,103107,68,82.28214396898996
Worth,Iowa,0,7381,2,5.89023543149461
Wright,Iowa,1,12562,5,10.024812016045969
Allen,Kansas,0,12369,8,9.87079285356413
Anderson,Kansas,0,7858,3,6.270894190581852
Atchison,Kansas,1,16073,9,12.826683930417678
Barber,Kansas,0,4427,2,3.5328644160989895
Barton,Kansas,2,25779,14,20.572331552431862
Bourbon,Kansas,3,14534,8,11.598520764306011
Brown,Kansas,0,9564,10,7.632327823711483
Butler,Kansas,5,66911,42,53.39676777628179
Chase,Kansas,0,2648,2,2.113174830320787
Chautauqua,Kansas,1,3250,3,2.5935869329843495
Cherokee,Kansas,3,19939,5,15.911855340546138
Cheyenne,Kansas,0,2657,2,2.120357071058282
Clark,Kansas,0,1994,2,1.591265336729475
Clay,Kansas,1,8002,10,6.385810042381774
Cloud,Kansas,0,8786,4,7.0114630132924605
Coffey,Kansas,16,8179,7,6.527060776885845
Comanche,Kansas,0,1700,2,1.3566454726379675
Cowley,Kansas,0,34908,18,27.857517740497748
Crawford,Kansas,5,38818,32,30.977802327565072
Decatur,Kansas,0,2827,2,2.256021618322079
Dickinson,Kansas,0,18466,7,14.73636193984277
Doniphan,Kansas,1,7600,3,6.065003289440325
Douglas,Kansas,30,122259,105,97.56595225837957
Edwards,Kansas,0,2798,2,2.2328788426123722
Elk,Kansas,0,2530,2,2.01900767398474
Ellis,Kansas,0,28553,19,22.78605775307758
Ellsworth,Kansas,0,6102,4,4.869559220021693
Finney,Kansas,1,36467,23,29.101641441581624
Ford,Kansas,1,33619,14,26.828861261538723
Franklin,Kansas,7,25544,11,20.384795266508377
Geary,Kansas,0,31670,12,25.273507128496725
Gove,Kansas,1,2636,4,2.10359850933746
Graham,Kansas,0,2482,2,1.9807023900514324
Grant,Kansas,0,7150,4,5.70589125256557
Gray,Kansas,0,5988,5,4.778584170680088
Greeley,Kansas,0,1232,1,0.9831689542882212
Greenwood,Kansas,0,5982,3,4.773796010188424
Hamilton,Kansas,0,2539,2,2.026189914722235
Harper,Kansas,0,5436,3,4.338073405447053
Harvey,Kansas,2,34429,29,27.475262927913285
Haskell,Kansas,0,3968,3,3.166570138486738
Hodgeman,Kansas,0,1794,1,1.431659987007361
Jackson,Kansas,1,13171,9,10.510810305949805
Jefferson,Kansas,1,19043,9,15.196823373791068
Jewell,Kansas,0,2879,2,2.2975190092498283
Johnson,Kansas,143,602401,725,480.73211138975546
Kearny,Kansas,0,3838,3,3.0628266611673642
Kingman,Kansas,0,7152,6,5.707487306062791
Kiowa,Kansas,0,2475,2,1.9751162028111586
Labette,Kansas,1,19618,14,15.655688754242146
Lane,Kansas,0,1535,1,1.2249710591172236
Leavenworth,Kansas,25,81758,36,65.2450709129029
Lincoln,Kansas,0,2962,2,2.363755229384506
Linn,Kansas,5,9703,2,7.743253541768352
Logan,Kansas,0,2794,2,2.22968673561793
Lyon,Kansas,12,33195,21,26.49049792012784
McPherson,Kansas,5,28542,21,22.777279458842862
Marion,Kansas,0,11884,4,9.483749880488004
Marshall,Kansas,0,9707,5,7.746445648762794
Meade,Kansas,0,4033,3,3.218441877146425
Miami,Kansas,1,34237,16,27.322041792180055
Mitchell,Kansas,3,5979,6,4.771401929942593
Montgomery,Kansas,6,31829,11,25.400393381525806
Morris,Kansas,2,5620,3,4.484910327191399
Morton,Kansas,0,2587,3,2.064495198655542
Nemaha,Kansas,0,10231,10,8.164611665034732
Neosho,Kansas,1,16007,10,12.77401416500938
Ness,Kansas,0,2750,2,2.194573558679065
Norton,Kansas,0,5361,3,4.278221399301261
Osage,Kansas,3,15949,13,12.727728613589967
Osborne,Kansas,0,3421,2,2.7300495069967567
Ottawa,Kansas,1,5704,2,4.551944574074686
Pawnee,Kansas,0,6414,7,5.11854356558819
Phillips,Kansas,0,5234,2,4.176872002227719
Pottawatomie,Kansas,2,24383,16,19.458286211371508
Pratt,Kansas,1,9164,8,7.313117124267255
Rawlins,Kansas,0,2530,2,2.01900767398474
Reno,Kansas,8,61998,39,49.476062360358064
Republic,Kansas,0,4636,4,3.6996520065585985
Rice,Kansas,0,9537,4,7.610781101498998
Riley,Kansas,5,74232,51,59.23912160285977
Rooks,Kansas,0,4920,6,3.926291603164
Rush,Kansas,0,3036,2,2.422809208781688
Russell,Kansas,0,6856,4,5.471271388474062
Saline,Kansas,1,54224,49,43.272202416659496
Scott,Kansas,0,4823,5,3.848883008548775
Sedgwick,Kansas,64,516042,446,411.8153194064953
Seward,Kansas,0,21428,12,17.100117169227275
Shawnee,Kansas,18,176875,130,141.1509811604944
Sheridan,Kansas,0,2521,2,2.0118254332472447
Sherman,Kansas,0,5917,2,4.721924271528738
Smith,Kansas,0,3583,3,2.8593298402716694
Stafford,Kansas,1,4156,3,3.316599167225525
Stanton,Kansas,0,2006,2,1.6008416577128017
Stevens,Kansas,2,5485,2,4.377176716128972
Sumner,Kansas,1,22836,8,18.223738831270957
Thomas,Kansas,0,7777,5,6.206254023944396
Trego,Kansas,0,2803,2,2.2368689763554253
Wabaunsee,Kansas,0,6931,2,5.531123394619854
Wallace,Kansas,0,1518,0,1.211404604390844
Washington,Kansas,0,5406,3,4.314132602988737
Wichita,Kansas,0,2119,2,1.691018680305796
Wilson,Kansas,0,8525,6,6.803178031905102
Woodson,Kansas,3,3138,3,2.5042079371399657
Wyandotte,Kansas,93,165429,72,132.01676699589783
Adair,Kentucky,0,19202,7,15.323709626820149
Allen,Kentucky,1,21315,3,17.009940146634282
Anderson,Kentucky,3,22747,6,18.152714450644616
Ballard,Kentucky,0,7888,6,6.294834993040169
Barren,Kentucky,1,44249,38,35.311885599269075
Bath,Kentucky,0,12500,10,9.975334357632114
Bell,Kentucky,0,26032,12,20.774232319830336
Boone,Kentucky,5,133581,83,106.60121110614843
Bourbon,Kentucky,6,19788,15,15.791353301505941
Boyd,Kentucky,4,46718,44,37.28221364158857
Boyle,Kentucky,1,30060,24,23.98868406323371
Bracken,Kentucky,1,8303,2,6.626016093713555
Breathitt,Kentucky,3,12630,8,10.079077834951487
Breckinridge,Kentucky,2,20477,5,16.341193731298624
Bullitt,Kentucky,6,81676,15,65.17963271951685
Butler,Kentucky,1,12879,10,10.27778649535552
Caldwell,Kentucky,0,12747,7,10.172446964538924
Calloway,Kentucky,4,39001,19,31.123841222560806
Campbell,Kentucky,6,93584,63,74.6825352419715
Carlisle,Kentucky,0,4760,2,3.798607323386309
Carroll,Kentucky,2,10631,4,8.48382236447896
Carter,Kentucky,0,26797,6,21.38472278251742
Casey,Kentucky,0,16159,13,12.895314230798187
Christian,Kentucky,9,70461,45,56.22976273384931
Clark,Kentucky,10,36263,19,28.938843984865066
Clay,Kentucky,0,19901,8,15.881530324098936
Clinton,Kentucky,0,10218,4,8.154237317302796
Crittenden,Kentucky,0,8806,4,7.027423548264672
Cumberland,Kentucky,0,6614,3,5.278148915310304
Daviess,Kentucky,42,101511,53,81.00849327820748
Edmonson,Kentucky,2,12150,10,9.696024995618414
Elliott,Kentucky,0,7517,6,5.998767069305648
Estill,Kentucky,0,14106,4,11.256965315900688
Fayette,Kentucky,118,323152,399,257.88393986700265
Fleming,Kentucky,0,14581,7,11.636028021490707
Floyd,Kentucky,1,35589,22,28.400973956301545
Franklin,Kentucky,7,50991,18,40.69218193840153
Fulton,Kentucky,0,5969,2,4.763421662456487
Gallatin,Kentucky,0,8869,4,7.077699233427137
Garrard,Kentucky,0,17666,5,14.097940540954314
Grant,Kentucky,1,25069,12,20.005732560918357
Graves,Kentucky,1,37266,12,29.73926481372147
Grayson,Kentucky,2,26427,16,21.08945288553151
Green,Kentucky,0,10941,2,8.731210656548237
Greenup,Kentucky,0,35098,23,28.009142822733754
Hancock,Kentucky,1,8722,7,6.960389301381384
Hardin,Kentucky,7,110958,68,88.54745197233153
Harlan,Kentucky,0,26010,8,20.756675731360904
Harrison,Kentucky,19,18886,8,15.071533174259208
Hart,Kentucky,0,19035,7,15.190439159802184
Henderson,Kentucky,7,45210,25,36.07878930468383
Henry,Kentucky,1,16126,8,12.868979348094038
Hickman,Kentucky,0,4380,3,3.4953571589142927
Hopkins,Kentucky,21,44686,54,35.66062328841189
Jackson,Kentucky,0,13329,3,10.636898532230276
Jefferson,Kentucky,221,766757,729,611.8925956843941
Jessamine,Kentucky,15,54115,39,43.18521750106095
Johnson,Kentucky,0,22188,17,17.70661749817131
Kenton,Kentucky,26,166998,137,133.26887096446782
Knott,Kentucky,0,14806,5,11.815584039928087
Knox,Kentucky,0,31145,7,24.854543085476177
Larue,Kentucky,2,14398,11,11.489989126494974
Laurel,Kentucky,2,60813,25,48.53040066325454
Lawrence,Kentucky,1,15317,6,12.223375708468087
Lee,Kentucky,0,7403,2,5.9077920199640435
Leslie,Kentucky,0,9877,2,7.882110196026591
Letcher,Kentucky,0,21553,14,17.199870512803596
Lewis,Kentucky,1,13275,3,10.593805087805306
Lincoln,Kentucky,0,24549,8,19.59075865164086
Livingston,Kentucky,0,9194,3,7.3370579267255724
Logan,Kentucky,2,27102,8,21.628120940843644
Lyon,Kentucky,2,8210,3,6.551799606092772
McCracken,Kentucky,6,65418,62,52.20531384060621
McCreary,Kentucky,1,17231,4,13.750798905308717
McLean,Kentucky,0,9207,7,7.34743227445751
Madison,Kentucky,11,92987,50,74.20611327305099
Magoffin,Kentucky,0,12161,4,9.704803289853132
Marion,Kentucky,1,19273,9,15.3803695259715
Marshall,Kentucky,1,31100,13,24.8186318817887
Martin,Kentucky,1,11195,4,8.933909450695321
Mason,Kentucky,1,17070,12,13.622316598782415
Meade,Kentucky,0,28572,6,22.801220261301182
Menifee,Kentucky,3,6489,3,5.178395571733983
Mercer,Kentucky,2,21933,5,17.50312067727561
Metcalfe,Kentucky,0,10071,2,8.03692738525704
Monroe,Kentucky,0,10650,5,8.498984872702561
Montgomery,Kentucky,5,28157,14,22.470039160627795
Morgan,Kentucky,0,13309,3,10.620937997258064
Muhlenberg,Kentucky,8,30622,14,24.43717509595285
Nelson,Kentucky,4,46233,21,36.89517066851244
Nicholas,Kentucky,1,7269,6,5.800856435650227
Ohio,Kentucky,0,23994,7,19.147853806161994
Oldham,Kentucky,4,66799,40,53.30738878043741
Owen,Kentucky,0,10901,4,8.699289586603815
Owsley,Kentucky,0,4415,4,3.5232880951156624
Pendleton,Kentucky,0,14590,3,11.643210262228203
Perry,Kentucky,0,25758,34,20.55557299071104
Pike,Kentucky,0,57876,52,46.1865961025853
Powell,Kentucky,1,12359,10,9.862812586078023
Pulaski,Kentucky,10,64979,49,51.85498009796617
Robertson,Kentucky,0,2108,2,1.6822403860710797
Rockcastle,Kentucky,1,16695,7,13.32305656805345
Rowan,Kentucky,0,24460,19,19.51973427101452
Russell,Kentucky,1,17923,6,14.30303341534723
Scott,Kentucky,7,57004,31,45.490716777796884
Shelby,Kentucky,4,49024,18,39.12246332388454
Simpson,Kentucky,5,18572,7,14.82095277519549
Spencer,Kentucky,3,19351,8,15.442615612363124
Taylor,Kentucky,2,25769,17,20.564351284945754
Todd,Kentucky,0,12294,2,9.810940847418337
Trigg,Kentucky,0,14651,3,11.691889893893448
Trimble,Kentucky,0,8471,2,6.760084587480131
Union,Kentucky,2,14381,3,11.476422671768594
Warren,Kentucky,17,132896,91,106.05456278335019
Washington,Kentucky,2,12095,4,9.652133524444833
Wayne,Kentucky,3,20333,13,16.226277879498703
Webster,Kentucky,2,12942,3,10.328062180517986
Whitley,Kentucky,0,36264,28,28.939642011613678
Wolfe,Kentucky,0,7157,6,5.711477439805843
Woodford,Kentucky,6,26734,18,21.334447097354953
Acadia,Louisiana,47,62045,23,49.513569617542764
Allen,Louisiana,19,25627,5,20.451031486643053
Ascension,Louisiana,189,126604,49,101.0333784810925
Assumption,Louisiana,25,21891,3,17.46960355383397
Avoyelles,Louisiana,31,40144,11,32.03598579622269
Beauregard,Louisiana,8,37497,15,29.92360899265051
Bienville,Louisiana,6,13241,2,10.566672178352546
Bossier,Louisiana,75,127039,55,101.38052011673808
Caddo,Louisiana,298,240204,282,191.68921712325314
Calcasieu,Louisiana,90,203436,155,162.34736963033973
Caldwell,Louisiana,0,9918,3,7.914829292719625
Cameron,Louisiana,0,6973,2,5.564640518061498
Catahoula,Louisiana,3,9494,8,7.576465951308744
Claiborne,Louisiana,10,15670,6,12.505079150727617
Concordia,Louisiana,5,19259,6,15.369197151490951
De Soto,Louisiana,39,27463,5,21.91620859709206
East Baton Rouge,Louisiana,244,440059,415,351.17885296681845
East Carroll,Louisiana,1,6861,3,5.475261522217115
East Feliciana,Louisiana,10,19135,6,15.27024183466324
Evangeline,Louisiana,11,33395,21,26.650103269849957
Franklin,Louisiana,5,20015,7,15.97250537344054
Grant,Louisiana,3,22389,2,17.867020874642034
Iberia,Louisiana,49,69830,34,55.72620785547604
Iberville,Louisiana,36,32511,11,25.94464762407821
Jackson,Louisiana,4,15744,3,12.5641331301248
Jefferson,Louisiana,1433,432493,399,345.1409825868309
Jefferson Davis,Louisiana,9,31368,14,25.03250305041633
Lafayette,Louisiana,159,244390,257,195.029757092937
Lafourche,Louisiana,105,97614,46,77.89858303887209
LaSalle,Louisiana,2,14892,12,11.884214340308596
Lincoln,Louisiana,13,46742,31,37.30136628355522
