county,state,cases,population,num_physicians,yhat
Madison,Arkansas,0,16576,3,13.228091384968794
Marion,Arkansas,0,16694,2,13.32225854130484
Miller,Arkansas,7,43257,32,34.52024306464739
Mississippi,Arkansas,0,40651,18,32.44058535776824
Monroe,Arkansas,0,6701,3,5.3475772424394235
Montgomery,Arkansas,0,8986,2,7.171068363014574
Nevada,Arkansas,1,8252,3,6.585316729534417
Newton,Arkansas,1,7753,6,6.187101381977742
Ouachita,Arkansas,0,23382,12,18.65946143601233
Perry,Arkansas,2,10455,8,8.3433696567235
Phillips,Arkansas,0,17782,10,14.19051164379314
Pike,Arkansas,2,10718,3,8.55325069160808
Poinsett,Arkansas,5,23528,4,18.77597334130947
Polk,Arkansas,5,19964,14,15.931806009261402
Pope,Arkansas,6,64072,41,51.13116983697638
Prairie,Arkansas,0,8062,6,6.433691647298408
Pulaski,Arkansas,113,391911,460,312.7554610747168
Randolph,Arkansas,3,17958,10,14.3309643515486
St. Francis,Arkansas,2,24994,12,19.945880554772565
Saline,Arkansas,14,122437,52,97.70800101963225
Scott,Arkansas,1,10281,2,8.20451300246526
Searcy,Arkansas,4,7881,2,6.289248805799895
Sebastian,Arkansas,8,127827,165,102.00936519464322
Sevier,Arkansas,3,17007,8,13.572040913619949
Sharp,Arkansas,0,17442,5,13.919182549265546
Stone,Arkansas,5,12506,6,9.980122518123776
Union,Arkansas,9,38682,22,30.869270689754035
Van Buren,Arkansas,20,16545,4,13.203352555761866
Washington,Arkansas,22,239187,187,190.8776239199162
White,Arkansas,15,78753,40,62.84700053332815
Woodruff,Arkansas,1,6320,3,5.043529051218797
Yell,Arkansas,0,21341,12,17.030688842098154
Alameda,California,380,1671329,1334,1333.765247728554
Alpine,California,1,1129,0,0.9009721991813325
Amador,California,3,39752,26,31.723159310767343
Butte,California,8,219186,141,174.91629092095621
Calaveras,California,3,45905,20,36.633417894968176
Colusa,California,1,21547,7,17.195082352311932
Contra Costa,California,250,1153526,921,920.5446032177554
Del Norte,California,0,27812,17,22.19471993235715
El Dorado,California,18,192843,154,153.89387228230797
Fresno,California,82,999101,664,797.3093225635682
Glenn,California,2,28393,5,22.65837347329989
Humboldt,California,27,135558,95,108.17890998815153
Imperial,California,43,181215,43,144.61441724946428
Inyo,California,9,18039,20,14.395604518186056
Kern,California,110,900202,442,718.3852751527315
Kings,California,4,152940,60,122.05021093250043
Lake,California,0,64386,29,51.381750236040105
Lassen,California,0,30573,10,24.39807178527093
Los Angeles,California,3518,10039107,8011,8011.475918163605
Madera,California,23,157327,69,125.551154278655
Marin,California,108,258826,387,206.55007123587916
Mariposa,California,0,17203,6,13.72845415634762
Mendocino,California,4,86749,79,69.22802241521826
Merced,California,10,277680,121,221.59606755418284
Modoc,California,0,8841,6,7.055354484466042
Mono,California,13,14444,9,11.52669835693106
Monterey,California,42,434061,264,346.3922885286522
Napa,California,19,137744,136,109.92339646061423
Nevada,California,26,99755,70,79.60715830764732
Orange,California,606,3175692,2534,2534.2871613485954
Placer,California,78,398329,477,317.87719674729937
Plumas,California,1,18807,16,15.008489061118974
Riverside,California,371,2470546,1972,1971.561791672847
Sacramento,California,314,1552058,1239,1238.5837993950227
